"StoryType";"Pag";"N";"Url";"Schema";"Www";"Dominio";"Percorso";"Frammento";"Lunghezza";"tinyurl"
2;279;1;"https://www.treccani.it/enciclopedia/francesco-ferrara_(Dizionario-di-Economia-e-Finanza)";"https://";"www";"treccani.it";"enciclopedia/francesco-ferrara_(Dizionario-di-Economia-e-Finanza)";"";89;
2;280;1;"https://palareti.eu/storia-suddivisioni-territoriali/denominazioni-storiche-italiane.html";"https://";"";"palareti.eu";"storia-suddivisioni-territoriali/denominazioni-storiche-italiane.html";"";89;
2;281;1;"https://www.istat.it/it/archivio/138158";"https://";"www";"istat.it";"it/archivio/138158";"";39;
2;282;1;"https://it.wikipedia.org/wiki/Diocesi_di_Tortona";"https://";"";"it.wikipedia.org";"wiki/Diocesi_di_Tortona";"";48;
2;283;1;"https://it.wikipedia.org/wiki/Regione_ecclesiastica";"https://";"";"it.wikipedia.org";"wiki/Regione_ecclesiastica";"";51;
2;284;1;"https://it.wikipedia.org/wiki/Circondario_del_Regno_d'Italia ";"https://";"";"it.wikipedia.org";"wiki/Circondario_del_Regno_d'Italia ";"";61;
2;285;1;"https://it.wikipedia.org/wiki/Mandamento_del_Regno_d'Italia";"https://";"";"it.wikipedia.org";"wiki/Mandamento_del_Regno_d'Italia";"";59;
2;286;1;"https://www.treccani.it/enciclopedia/appodiato";"https://";"www";"treccani.it";"enciclopedia/appodiato";"";46;
2;287;1;"https://upload.wikimedia.org/wikipedia/commons/6/62/Vallardi_-_Forlì.jpg";"https://";"";"upload.wikimedia.org";"wikipedia/commons/6/62/Vallardi_-_Forlì.jpg";"";72;
2;288;1;"tinyurl.com/5asxewde";"https://";"";"tinyurl.com";"5asxewde";"";20;
2;289;1;"https://www.treccani.it/enciclopedia/comunello";"https://";"www";"treccani.it";"enciclopedia/comunello";"";46;
2;290;1;"https://books.google.it/books?id=5M42AQAAMAAJ";"https://";"";"books.google.it";"books?id=5M42AQAAMAAJ";"";45;
